,zipcode,STATE,STATEFIPS,N1,A00100,A02650,N02650,avg_gross_income,avg_total_income
2103,08620,NJ,34,6210,477318.0,482662.0,6210,76862.80193236715,77723.3494363929
2104,08628,NJ,34,5250,415845.0,420581.0,5250,79208.57142857143,80110.66666666666
2105,08629,NJ,34,6160,218389.0,219797.0,6160,35452.759740259746,35681.33116883117
2106,08638,NJ,34,10880,513164.0,517561.0,10880,47165.80882352941,47569.944852941175
2107,08640,NJ,34,900,47127.0,47501.0,900,52363.333333333336,52778.88888888888
2108,08641,NJ,34,1700,75540.0,76090.0,1700,44435.29411764706,44758.82352941176
2109,08648,NJ,34,15290,1375119.0,1397218.0,15290,89935.84041857423,91381.16415958143
2110,08690,NJ,34,10620,884843.0,894131.0,10620,83318.54990583804,84193.12617702447
2111,08691,NJ,34,7910,998895.0,1011866.0,7910,126282.55372945638,127922.37673830595
2112,08701,NJ,34,32860,2178217.0,2229147.0,32860,66287.79671332927,67837.70541692027
2113,08721,NJ,34,10220,677979.0,686354.0,10220,66338.45401174169,67157.92563600783
2114,08722,NJ,34,5480,323774.0,327070.0,5480,59082.846715328466,59684.30656934306
2115,08723,NJ,34,16600,1091506.0,1106568.0,16600,65753.3734939759,66660.72289156627
2116,08724,NJ,34,22210,1554518.0,1576578.0,22210,69991.80549302117,70985.05177847817
2117,08730,NJ,34,2770,401906.0,411971.0,2770,145092.41877256316,148725.99277978338
2118,08731,NJ,34,10710,734763.0,744921.0,10710,68605.32212885153,69553.78151260504
2119,08733,NJ,34,1390,63122.0,63665.0,1390,45411.510791366905,45802.1582733813
2120,08734,NJ,34,3740,287500.0,291491.0,3740,76871.6577540107,77938.77005347594
2121,08735,NJ,34,1700,183767.0,187247.0,1700,108098.23529411764,110145.29411764705
2122,08736,NJ,34,6760,849056.0,867415.0,6760,125600.0,128315.82840236687
2123,08738,NJ,34,430,120562.0,122728.0,430,280376.7441860465,285413.9534883721
2124,08741,NJ,34,1410,116692.0,118833.0,1410,82760.28368794326,84278.72340425532
2125,08742,NJ,34,13510,1248027.0,1272374.0,13510,92378.01628423389,94180.162842339
2126,08750,NJ,34,1970,389480.0,398584.0,1970,197705.58375634518,202326.9035532995
2127,08751,NJ,34,1890,113828.0,115751.0,1890,60226.45502645503,61243.915343915345
2128,08752,NJ,34,1190,111064.0,113357.0,1190,93331.09243697478,95257.98319327731
2129,08753,NJ,34,32460,2337708.0,2372255.0,32460,72018.1146025878,73082.40911891559
2130,08755,NJ,34,12940,956838.0,973397.0,12940,73944.20401854714,75223.87944358579
2131,08757,NJ,34,17810,854127.0,861479.0,17810,47957.72038180797,48370.52217855138
2132,08758,NJ,34,4100,299540.0,302964.0,4100,73058.53658536586,73893.65853658537
2133,08759,NJ,34,18200,947807.0,955971.0,18200,52077.30769230769,52525.879120879115
2134,08801,NJ,34,3840,538044.0,548506.0,3840,140115.625,142840.10416666666
2135,08802,NJ,34,2000,221304.0,224932.0,2000,110652.0,112466.0
2136,08804,NJ,34,1500,137253.0,139617.0,1500,91502.0,93078.0
2137,08805,NJ,34,6550,376574.0,380963.0,6550,57492.21374045801,58162.29007633588
2138,08807,NJ,34,19060,2368195.0,2400602.0,19060,124249.47534102833,125949.73767051417
2139,08809,NJ,34,2860,311417.0,317078.0,2860,108887.06293706293,110866.43356643357
2140,08810,NJ,34,3920,412559.0,416833.0,3920,105244.64285714287,106334.94897959185
2141,08812,NJ,34,7150,694118.0,704048.0,7150,97079.44055944055,98468.25174825174
2142,08816,NJ,34,23480,2685509.0,2724912.0,23480,114374.31856899489,116052.47018739353
2143,08817,NJ,34,22240,1604832.0,1622099.0,22240,72159.71223021582,72936.10611510792
2144,08820,NJ,34,17990,2320851.0,2352473.0,17990,129007.83768760422,130765.59199555308
2145,08822,NJ,34,15620,1848764.0,1878806.0,15620,118358.77080665813,120282.0742637644
2146,08823,NJ,34,4740,408875.0,413469.0,4740,86260.54852320674,87229.74683544303
2147,08824,NJ,34,6340,725222.0,733498.0,6340,114388.32807570978,115693.69085173501
2148,08825,NJ,34,2250,203578.0,207504.0,2250,90479.11111111111,92224.0
2149,08826,NJ,34,2710,274694.0,279415.0,2710,101363.09963099632,103105.16605166052
2150,08827,NJ,34,2210,228253.0,232423.0,2210,103281.90045248868,105168.77828054297
2151,08828,NJ,34,1330,93227.0,94274.0,1330,70095.48872180452,70882.7067669173
2152,08829,NJ,34,1840,156543.0,158739.0,1840,85077.71739130435,86271.19565217392
2153,08830,NJ,34,9460,743202.0,750675.0,9460,78562.57928118393,79352.53699788584
2154,08831,NJ,34,27550,2847251.0,2883746.0,27550,103348.4936479129,104673.17604355716
2155,08832,NJ,34,1570,61680.0,62209.0,1570,39286.62420382165,39623.56687898089
2156,08833,NJ,34,4580,802374.0,816986.0,4580,175190.82969432315,178381.22270742359
2157,08835,NJ,34,5430,276873.0,279092.0,5430,50989.50276243094,51398.15837937385
2158,08836,NJ,34,2020,372251.0,380033.0,2020,184282.67326732675,188135.1485148515
2159,08837,NJ,34,8090,745588.0,752545.0,8090,92161.68108776267,93021.63164400494
2160,08840,NJ,34,8680,958159.0,970820.0,8680,110386.98156682028,111845.62211981567
2161,08844,NJ,34,20460,2334067.0,2365528.0,20460,114079.52101661779,115617.20430107528
2162,08846,NJ,34,7350,481338.0,486197.0,7350,65488.163265306124,66149.25170068027
2163,08848,NJ,34,4220,393584.0,401647.0,4220,93266.35071090047,95177.01421800947
2164,08850,NJ,34,4370,399188.0,403744.0,4370,91347.36842105264,92389.93135011442
2165,08852,NJ,34,8530,993373.0,1004728.0,8530,116456.38921453693,117787.5732708089
2166,08853,NJ,34,2650,358532.0,363854.0,2650,135295.09433962265,137303.3962264151
